Program started
Connected to remote API server
Number of objects in the scene: 26
currentTime = 0.000737, dt = 0.000593
Here here. 0.000000, 0.000000, 0.000000
currentTime = 0.069379, dt = 0.068642
currentTime = 0.083770, dt = 0.014391
currentTime = 0.092930, dt = 0.009160
currentTime = 0.102912, dt = 0.009981
currentTime = 0.122065, dt = 0.019153
currentTime = 0.124138, dt = 0.002074
currentTime = 0.126703, dt = 0.002565
currentTime = 0.128737, dt = 0.002034
currentTime = 0.130799, dt = 0.002062
currentTime = 0.132992, dt = 0.002193
currentTime = 0.139202, dt = 0.006210
currentTime = 0.141233, dt = 0.002032
currentTime = 0.143243, dt = 0.002009
currentTime = 0.145252, dt = 0.002009
currentTime = 0.147278, dt = 0.002026
currentTime = 0.149292, dt = 0.002014
currentTime = 0.151316, dt = 0.002024
currentTime = 0.153365, dt = 0.002049
currentTime = 0.155731, dt = 0.002366
currentTime = 0.157785, dt = 0.002054
currentTime = 0.159798, dt = 0.002013
currentTime = 0.161809, dt = 0.002011
currentTime = 0.163819, dt = 0.002010
currentTime = 0.165847, dt = 0.002028
currentTime = 0.168734, dt = 0.002887
currentTime = 0.170766, dt = 0.002032
currentTime = 0.172802, dt = 0.002036
currentTime = 0.174810, dt = 0.002008
currentTime = 0.176820, dt = 0.002010
currentTime = 0.178929, dt = 0.002108
currentTime = 0.180972, dt = 0.002044
currentTime = 0.182985, dt = 0.002013
currentTime = 0.184997, dt = 0.002013
currentTime = 0.187018, dt = 0.002020
currentTime = 0.189031, dt = 0.002013
currentTime = 0.191045, dt = 0.002014
currentTime = 0.193055, dt = 0.002011
currentTime = 0.195091, dt = 0.002036
currentTime = 0.197111, dt = 0.002020
currentTime = 0.199125, dt = 0.002014
currentTime = 0.201155, dt = 0.002031
currentTime = 0.203165, dt = 0.002010
currentTime = 0.205180, dt = 0.002015
currentTime = 0.207196, dt = 0.002016
currentTime = 0.209215, dt = 0.002019
currentTime = 0.211771, dt = 0.002556
currentTime = 0.213847, dt = 0.002077
currentTime = 0.215861, dt = 0.002014
currentTime = 0.217871, dt = 0.002010
currentTime = 0.219891, dt = 0.002020
currentTime = 0.221931, dt = 0.002040
currentTime = 0.223951, dt = 0.002020
currentTime = 0.225977, dt = 0.002026
currentTime = 0.228021, dt = 0.002044
currentTime = 0.230032, dt = 0.002010
currentTime = 0.232046, dt = 0.002014
currentTime = 0.234156, dt = 0.002110
currentTime = 0.236171, dt = 0.002015
currentTime = 0.238202, dt = 0.002031
currentTime = 0.240212, dt = 0.002010
currentTime = 0.242225, dt = 0.002013
currentTime = 0.244235, dt = 0.002010
currentTime = 0.247429, dt = 0.003194
currentTime = 0.249442, dt = 0.002013
currentTime = 0.251829, dt = 0.002387
currentTime = 0.253895, dt = 0.002066
currentTime = 0.255910, dt = 0.002015
currentTime = 0.257935, dt = 0.002025
currentTime = 0.259946, dt = 0.002011
currentTime = 0.261953, dt = 0.002007
currentTime = 0.263966, dt = 0.002013
currentTime = 0.266009, dt = 0.002043
currentTime = 0.268020, dt = 0.002011
currentTime = 0.270041, dt = 0.002021
currentTime = 0.272058, dt = 0.002017
currentTime = 0.274077, dt = 0.002019
currentTime = 0.276093, dt = 0.002016
currentTime = 0.278102, dt = 0.002009
currentTime = 0.280145, dt = 0.002042
currentTime = 0.282163, dt = 0.002018
currentTime = 0.284182, dt = 0.002019
currentTime = 0.286193, dt = 0.002011
currentTime = 0.288227, dt = 0.002034
currentTime = 0.290240, dt = 0.002013
currentTime = 0.292270, dt = 0.002030
currentTime = 0.294280, dt = 0.002010
currentTime = 0.296302, dt = 0.002022
currentTime = 0.298314, dt = 0.002012
currentTime = 0.300325, dt = 0.002011
currentTime = 0.302334, dt = 0.002009
currentTime = 0.304343, dt = 0.002008
currentTime = 0.306418, dt = 0.002076
currentTime = 0.308428, dt = 0.002010
currentTime = 0.310439, dt = 0.002010
currentTime = 0.312464, dt = 0.002025
currentTime = 0.314487, dt = 0.002023
currentTime = 0.316499, dt = 0.002013
currentTime = 0.318513, dt = 0.002013
currentTime = 0.320525, dt = 0.002012
currentTime = 0.322534, dt = 0.002009
currentTime = 0.324545, dt = 0.002011
currentTime = 0.326555, dt = 0.002010
currentTime = 0.328572, dt = 0.002017
currentTime = 0.330596, dt = 0.002024
currentTime = 0.332896, dt = 0.002300
currentTime = 0.334937, dt = 0.002041
currentTime = 0.336949, dt = 0.002012
currentTime = 0.338958, dt = 0.002009
currentTime = 0.340966, dt = 0.002008
currentTime = 0.342981, dt = 0.002016
currentTime = 0.345006, dt = 0.002024
currentTime = 0.347017, dt = 0.002011
currentTime = 0.349036, dt = 0.002020
currentTime = 0.351079, dt = 0.002043
currentTime = 0.353089, dt = 0.002010
currentTime = 0.355115, dt = 0.002026
currentTime = 0.357127, dt = 0.002012
currentTime = 0.359141, dt = 0.002014
currentTime = 0.361210, dt = 0.002069
currentTime = 0.363221, dt = 0.002012
currentTime = 0.365247, dt = 0.002025
currentTime = 0.367256, dt = 0.002009
currentTime = 0.371085, dt = 0.003829
currentTime = 0.373101, dt = 0.002016
currentTime = 0.375142, dt = 0.002041
currentTime = 0.377160, dt = 0.002018
currentTime = 0.379181, dt = 0.002021
currentTime = 0.381211, dt = 0.002030
currentTime = 0.383223, dt = 0.002012
currentTime = 0.385329, dt = 0.002106
currentTime = 0.387359, dt = 0.002031
currentTime = 0.389375, dt = 0.002016
currentTime = 0.391399, dt = 0.002024
Here here. -0.015000, -0.015000, -0.015000
currentTime = 0.401315, dt = 0.009916
currentTime = 0.403334, dt = 0.002019
currentTime = 0.405348, dt = 0.002013
currentTime = 0.408116, dt = 0.002769
currentTime = 0.410146, dt = 0.002030
currentTime = 0.412164, dt = 0.002018
currentTime = 0.414182, dt = 0.002018
currentTime = 0.416192, dt = 0.002011
currentTime = 0.418199, dt = 0.002007
currentTime = 0.420223, dt = 0.002024
currentTime = 0.422242, dt = 0.002019
currentTime = 0.424267, dt = 0.002025
currentTime = 0.426275, dt = 0.002009
currentTime = 0.428293, dt = 0.002017
currentTime = 0.430323, dt = 0.002031
